Warehouse_ID,Location,Current_Stock,Warehouse_Capacity,Employee_Count,Demand_Forecast,Monthly_Sales,Backorder_Quantity,Stockout_Risk,Lead_Time_Days,Shipping_Time_Days,Order_Processing_Time,Storage_Cost,Operational_Cost,Transportation_Cost,Damaged_Goods,Return_Rate,Customer_Rating,Supplier_ID,Product_Category
WH080,Seattle,4041,38531,93,2603,4073,194,8,7,4,4.151248721,15308,92226,4244,49,7.022517246,1.419769536,S103,Furniture
WH191,Seattle,848,11429,64,4701,9842,175,21,7,5,2.211782892,12498,93258,5777,5,5.227020682,3.992986904,S136,Groceries
WH049,Dallas,4357,42128,53,4984,3420,122,24,2,5,1.005586763,2181,40932,8725,3,3.93176923,2.256984921,S759,Automotive
WH233,New York,2443,32242,58,5093,7676,34,22,6,5,3.388189253,6179,80137,2251,50,1.029570845,1.383031106,S201,Apparel
WH101,Chicago,4929,42598,17,2198,7953,159,7,7,2,2.0765024,7843,59285,6764,21,6.961396946,3.456670588,S406,Apparel
WH207,Miami,1463,30536,94,4048,2765,270,17,5,3,2.904957479,18584,77723,14848,8,2.436190747,2.041297629,S637,Furniture
WH369,San Francisco,2314,31325,10,1514,5331,70,9,6,5,3.592180375,12245,81364,10053,11,9.016686095,1.06242709,S549,Groceries
WH179,Denver,3850,25907,16,3733,9416,199,21,2,4,4.392024122,7284,83283,12751,3,8.726997259,3.825005349,S426,Furniture
WH220,Dallas,1542,48600,48,3354,7295,264,23,7,1,4.272494208,2541,36696,713,16,7.826373236,4.310665841,S271,Electronics
WH268,Chicago,2383,39082,26,697,4982,202,14,5,5,2.572007807,19243,84872,10301,49,4.239142047,2.944644228,S636,Groceries
WH196,Houston,4003,14012,84,1225,7111,137,12,2,3,1.302660491,4592,75092,3788,5,3.859126551,1.469343867,S336,Furniture
WH376,San Francisco,3337,28749,61,3349,2070,207,10,5,5,0.800478755,10282,88630,3061,38,4.480422802,3.587775478,S566,Electronics
WH199,Miami,3549,49867,56,3228,9527,188,13,10,3,1.790595457,1083,74353,8062,4,9.707976613,2.139907856,S158,Electronics
WH092,Dallas,936,32410,68,431,7584,61,9,5,6,2.219085521,16534,73884,12558,19,2.152120282,4.870324471,S970,Automotive
WH404,Atlanta,1785,21520,41,565,8992,159,7,2,4,1.184309534,9662,56955,12565,29,3.300761971,3.015149599,S185,Apparel
WH206,Dallas,4646,44144,64,3459,2984,110,14,10,4,4.231301558,14983,88732,1982,22,2.857287373,3.81304998,S585,Groceries
WH021,Houston,1888,30335,99,3795,3884,127,17,8,4,3.05812302,12391,82892,10615,34,1.310921904,4.622931174,S560,Electronics
WH253,Miami,2962,10606,7,552,1392,255,17,5,3,2.974522507,3671,99018,13568,4,9.383940439,4.136936832,S491,Furniture
WH484,Los Angeles,3743,48044,22,410,1897,278,23,5,1,0.641439583,14036,81031,11150,9,0.648957312,1.788342617,S376,Groceries
WH392,Houston,2742,41692,11,4889,5933,129,22,9,3,1.139308629,2294,67455,5421,32,3.692185476,3.147590168,S545,Furniture
WH326,Miami,3837,49681,13,3017,3145,287,16,7,6,0.651247625,7521,54060,4161,5,9.628371283,3.100092506,S276,Apparel
WH335,Houston,1423,49197,96,3261,8668,103,16,2,3,3.030536236,7966,94094,7011,31,1.663350287,3.839613388,S555,Electronics
WH415,Chicago,4568,47783,46,1768,3154,247,12,7,6,2.279379212,11813,97211,546,12,9.733098225,4.274243537,S388,Groceries
WH009,New York,4577,42346,25,1024,8412,229,13,8,4,4.408621821,16029,67329,6976,10,9.619583361,3.133223646,S104,Electronics
WH397,Denver,4372,35116,40,643,8278,35,19,7,1,0.718415833,18146,42195,7702,40,8.157148445,4.163828462,S204,Automotive
WH122,San Francisco,1332,15012,39,1339,3223,190,9,7,7,1.933486811,19964,46106,11533,35,9.516148417,2.55290926,S596,Groceries
WH157,Atlanta,2390,15979,29,409,9800,33,10,3,4,1.613687358,9882,81644,8995,45,8.526445727,4.101969874,S452,Apparel
WH269,Los Angeles,1403,38733,31,4806,6079,274,20,7,7,4.240567246,16907,86006,4024,14,5.92727106,3.84080646,S571,Apparel
WH366,Dallas,1217,33642,85,564,6930,40,15,2,4,1.292301446,13415,64548,14962,1,4.625306042,2.026357067,S783,Furniture
WH459,New York,1295,24041,55,2782,2694,8,23,2,1,3.265891263,5744,60363,2583,19,2.930826554,1.800825215,S286,Electronics
WH302,Los Angeles,2867,29903,69,2066,1220,0,12,9,2,1.339351016,7233,88536,4194,15,6.523684812,3.747210749,S872,Furniture
WH112,Chicago,3120,38594,26,4695,8079,91,21,8,5,2.695718699,2330,56043,1930,47,3.64084092,3.49719159,S669,Furniture
WH428,Atlanta,3337,17790,14,4873,1712,64,23,4,3,4.409161311,17299,33193,2291,4,8.464944949,4.89880264,S810,Automotive
WH361,Dallas,4062,14738,54,1475,4224,66,9,8,3,3.183175864,9524,39957,13636,42,6.228950011,2.773447385,S498,Groceries
WH140,Los Angeles,1449,41388,25,1639,7003,115,20,8,4,0.992195364,13400,60432,1148,27,8.938582936,3.158641905,S278,Groceries
WH005,San Francisco,2474,33661,76,1871,4844,180,23,9,4,1.722718177,4235,44010,3155,15,3.043566174,3.832921048,S498,Furniture
WH487,Miami,3885,30250,44,2529,3921,204,19,9,6,1.094687117,12697,58271,6016,37,9.13285074,4.176466027,S695,Apparel
WH136,Houston,2227,19817,7,3193,5510,194,22,8,7,1.42802019,8826,71473,11062,29,2.186308185,1.464525752,S899,Electronics
WH286,Miami,1443,29712,18,568,5045,76,21,5,7,4.899858696,14945,51904,8595,18,8.761449582,3.63903505,S778,Electronics
WH456,Miami,4451,19710,35,4005,9427,88,10,9,3,0.51501433,9717,71826,12407,9,1.84237285,3.681752251,S686,Groceries
WH192,Los Angeles,2980,11351,5,5034,7397,173,5,5,1,4.921471157,16209,72538,912,1,6.86212708,3.958441132,S293,Furniture
WH162,Denver,567,49954,91,3280,2840,3,18,7,3,0.93239148,15435,36588,5859,8,9.002075986,3.238418043,S134,Electronics
WH341,New York,4529,40101,62,3336,1919,49,16,6,5,4.468831432,5397,79668,12018,25,1.061712092,2.957752805,S260,Groceries
WH490,Los Angeles,2983,35268,42,4731,2513,189,17,7,4,4.335195863,3996,38811,6269,35,6.684995211,3.80041626,S384,Automotive
WH485,San Francisco,2389,42688,96,2700,8949,41,11,5,3,1.073234624,12734,40118,4978,25,6.515364499,1.280230069,S679,Furniture
WH307,Denver,4814,49802,36,3915,4537,1,22,4,7,4.740421474,1114,88519,7525,4,7.02274291,3.122479417,S930,Automotive
WH174,Miami,1935,19330,42,3684,6819,97,7,2,2,4.033047395,3636,37318,5063,33,4.204409861,3.125580475,S161,Groceries
WH099,Los Angeles,1478,33202,6,3535,8811,16,6,7,1,2.579711123,8946,75822,11951,49,3.342924357,2.684157093,S573,Electronics
WH298,New York,4418,43351,83,3948,6836,112,6,10,7,4.428036194,11037,74065,7760,7,8.336853233,3.951950891,S355,Automotive
WH265,Los Angeles,703,12946,12,3797,2756,161,19,8,5,4.557828119,14139,43957,7731,38,9.756787507,4.991848592,S712,Automotive
WH016,Atlanta,1279,15987,82,3723,8315,266,10,3,2,0.551778239,5509,50740,5968,8,7.173624412,1.999504568,S464,Electronics
WH154,Denver,668,21884,24,3671,7308,135,13,2,3,4.10897556,16105,93117,13500,7,2.070335526,3.143725712,S588,Apparel
WH306,Miami,3066,49848,98,3460,3230,117,22,6,5,0.97006531,8552,78996,12597,37,3.3117482,3.09108092,S598,Electronics
WH062,Chicago,1701,29687,42,2243,1481,30,25,10,5,4.768843953,12883,31210,9577,21,1.378813639,4.822211601,S450,Furniture
WH016,Atlanta,4789,34766,27,834,2642,129,22,10,4,2.447829059,17788,80268,10987,20,5.474248613,2.319609279,S699,Furniture
WH155,Houston,1524,30211,37,2820,9598,135,23,4,3,1.965117195,3215,63126,7518,12,4.380518807,4.735659804,S335,Automotive
WH092,New York,3321,40555,66,3652,5103,246,13,2,3,4.477332416,2353,35784,10115,41,2.176464514,1.1381963,S732,Groceries
WH071,San Francisco,4475,12303,61,1326,7782,241,22,9,5,2.043149875,9088,30531,6130,32,7.200827417,4.635351573,S476,Groceries
WH495,Seattle,3126,21943,12,520,1557,48,20,5,5,1.658260792,2075,59269,1571,30,3.086744737,4.662813326,S917,Electronics
WH455,Chicago,1129,27025,41,2613,5385,192,19,9,5,2.907291974,2517,46628,11960,40,6.016837387,4.345494711,S596,Groceries
WH143,Seattle,3330,24801,33,3718,4788,135,8,6,1,4.650512731,15966,30780,14405,29,8.712734324,2.429280204,S217,Apparel
WH352,Los Angeles,1002,22089,8,5141,2300,270,10,10,7,3.416919802,5249,70630,3224,23,4.647341242,1.774983425,S761,Apparel
WH407,New York,2469,14179,6,4680,1013,4,10,2,4,1.087899764,4889,69104,4214,29,3.241580555,4.480384062,S878,Apparel
WH375,New York,2332,45665,32,2569,8226,4,15,7,3,2.315601177,7809,81666,1742,39,2.023357657,4.123565279,S341,Apparel
WH467,Denver,537,33050,19,3634,4624,97,10,2,2,3.623702192,6424,39505,6198,42,5.861226198,3.484430542,S122,Electronics
WH473,Miami,3522,47108,73,717,8818,173,5,10,2,3.970040145,2831,35991,5140,9,3.829251194,1.482086095,S384,Electronics
WH215,Seattle,3895,18812,53,4812,4196,205,14,3,2,0.619509401,5326,63807,5936,34,4.367563067,3.780710453,S552,Apparel
WH022,Dallas,785,12450,76,3253,6067,135,10,5,7,3.04267871,2415,48656,6527,16,2.060185938,1.062904399,S464,Electronics
WH134,Seattle,582,33854,16,979,1756,300,13,4,7,3.217256918,15544,78161,11418,47,3.635471461,1.951644766,S828,Furniture
WH438,Chicago,608,26143,36,5117,7939,64,21,6,5,4.368071329,12294,37319,9850,4,8.973498263,1.936213015,S185,Furniture
WH061,San Francisco,4667,30124,77,1194,4822,41,23,6,6,1.892186972,12415,33599,13679,11,2.982237282,2.717638971,S809,Apparel
WH218,Dallas,1856,23518,70,4009,6460,206,15,7,6,4.115823692,3828,72564,8048,7,9.1406853,2.251087955,S626,Electronics
WH090,Dallas,4959,38363,41,1521,7214,189,13,2,5,4.843627664,1270,46931,2087,41,2.60345653,4.783974743,S279,Apparel
WH072,San Francisco,848,45161,66,4086,5154,161,10,2,1,3.090093373,1335,87409,5088,7,8.464379149,4.79981323,S654,Furniture
WH093,Miami,1650,45743,57,717,1304,184,25,4,5,1.190648644,13382,85842,7065,27,4.341636366,4.695957924,S411,Automotive
WH086,Chicago,895,21951,17,3524,2495,64,24,7,2,1.460569847,6527,51690,5896,43,4.375871675,4.700998194,S605,Groceries
WH057,Los Angeles,4390,42370,56,486,2700,80,6,8,2,3.742421244,3080,72677,14988,0,9.761130562,1.224371134,S862,Apparel
WH087,Houston,1254,12956,86,5127,5073,218,5,2,4,4.686429202,16289,96514,544,34,6.303297318,3.238542676,S240,Apparel
WH486,Seattle,1097,38300,25,4224,2499,296,15,8,3,1.512054682,10261,43503,11559,7,4.238004917,4.108061923,S577,Electronics
WH330,Houston,4556,48929,12,3161,5683,112,5,3,3,0.578969741,3405,51674,14853,6,9.352032489,2.015312515,S612,Automotive
WH343,New York,1620,39214,10,3290,2072,29,25,10,7,1.309214915,8105,69993,10630,23,0.64756782,2.110521389,S981,Apparel
WH480,Atlanta,2264,16832,90,2633,8627,190,15,3,3,2.479592083,16744,97185,7311,38,5.766895805,2.663895218,S534,Apparel
WH466,Atlanta,4416,21769,11,2857,5491,87,6,8,7,3.545752325,16669,45999,2443,10,3.666495477,2.874185416,S310,Groceries
WH349,Miami,1894,45430,35,1961,8297,76,6,5,2,3.968445474,18999,96163,14529,30,8.442895539,2.58935446,S533,Automotive
WH168,Atlanta,1294,22010,5,2072,9674,105,25,3,5,2.007512788,14540,85680,12286,13,5.766948966,3.037074296,S717,Furniture
WH449,Seattle,2484,24642,98,2155,2049,300,11,3,7,4.440275801,3168,92559,11699,1,7.634356346,4.566869375,S837,Apparel
WH211,Dallas,589,48033,88,5164,7324,277,24,6,3,1.995329824,6373,64458,6467,2,2.413013146,3.676674243,S981,Automotive
WH049,San Francisco,2807,46738,67,4166,6136,68,16,3,6,1.786227925,10655,56895,6239,8,1.445209126,1.3945166,S141,Apparel
WH102,Los Angeles,2194,22467,17,2077,5565,62,17,10,1,2.267725646,13135,55474,14564,25,3.172775246,1.413834815,S337,Apparel
WH091,Atlanta,2669,23036,77,5200,6850,146,5,10,3,2.011125962,13529,82513,12864,33,4.772863751,3.537690872,S860,Electronics
WH239,San Francisco,1404,35073,69,3278,3125,241,16,4,3,4.222071917,5339,72802,9222,25,1.260143677,2.197666033,S679,Apparel
WH060,Chicago,3911,18379,82,1299,9317,224,17,7,5,3.364371645,5090,37255,5452,37,3.772187107,4.613700046,S713,Automotive
WH491,Houston,566,28078,58,4274,9864,198,22,3,7,2.276965731,14358,41020,9193,11,3.072119392,4.577625186,S248,Groceries
WH199,Atlanta,2677,47231,16,3594,7549,201,9,9,5,0.867323113,8493,93093,3125,9,8.895301461,2.813322792,S319,Electronics
WH092,Miami,1330,41005,95,1433,2447,255,15,9,7,4.364866508,7917,57086,13814,13,0.925195383,2.669654185,S138,Furniture
WH401,Seattle,3759,41287,98,1018,6247,124,17,3,3,4.655423981,4925,60495,11217,40,9.676906601,1.752822709,S810,Apparel
WH440,San Francisco,3296,34858,40,3925,4216,159,14,2,5,4.150798559,2509,31611,2403,45,1.606366717,3.815167434,S429,Groceries
WH269,Miami,1573,35387,69,2459,5249,249,6,5,6,0.56023586,17511,44851,14135,22,9.400063276,4.991261774,S863,Apparel
WH280,San Francisco,3364,11340,70,3219,7808,150,9,10,3,1.667338582,16014,72445,5555,17,0.726130996,4.620090025,S396,Furniture
WH224,New York,2460,25172,15,509,5160,247,18,4,1,3.22595929,19245,51625,13942,25,3.452301737,1.772772062,S634,Automotive
WH195,New York,833,46936,35,3175,5369,20,6,4,3,1.611941945,11659,95174,13600,29,6.910683212,2.753405882,S346,Apparel
WH242,Atlanta,3010,47303,47,1765,7756,245,18,2,1,1.434040342,14519,34994,9948,45,1.834622098,1.909150936,S136,Furniture
WH375,Denver,4991,11753,52,3810,7625,120,15,7,3,1.330884676,1898,89876,8285,49,5.397408372,2.280281593,S372,Automotive
WH099,Miami,4998,35815,78,1200,6075,256,16,9,7,0.759994934,2792,64791,11106,47,5.714418205,3.862282198,S411,Furniture
WH216,New York,2492,49704,65,2973,2441,283,23,9,5,2.634885055,8597,47857,676,36,8.661110256,1.220470669,S201,Apparel
WH187,Atlanta,1298,20213,27,4148,2619,24,10,10,5,3.15406857,10252,70464,6489,8,4.966517084,4.654195346,S684,Apparel
WH434,New York,3535,27446,27,4561,9752,6,19,8,7,4.764602638,4070,66003,2268,33,6.965126934,2.899379272,S677,Electronics
WH388,Dallas,2595,13371,60,4478,7212,166,23,8,2,2.729360401,5624,36726,6640,27,3.876420577,1.22750206,S813,Electronics
WH044,Miami,1697,44716,30,3299,8936,47,17,4,5,2.57701887,6489,87372,14212,31,4.131810748,1.638019774,S501,Groceries
WH471,Chicago,1312,43037,93,3307,1605,73,24,6,5,0.694926719,11793,96271,3716,18,7.588369271,3.422899866,S136,Groceries
WH162,Seattle,1443,23449,38,1157,3327,259,18,4,4,0.987178441,18784,76947,11728,20,6.904049182,1.263026263,S109,Automotive
WH197,Seattle,3327,28103,30,3799,1450,36,13,9,4,3.444852049,10754,34130,1809,5,3.583126697,3.350975262,S309,Furniture
WH007,Miami,3165,17714,46,4971,7138,38,16,9,4,3.305863496,15161,98563,13676,37,1.505462167,4.480919464,S312,Electronics
WH124,New York,1340,33504,12,2971,5874,140,25,6,7,1.05704123,9168,79393,1607,20,7.417042139,3.957751964,S819,Automotive
WH343,Denver,857,33036,44,4872,1948,82,21,7,3,0.913687562,2440,66122,8450,27,6.179871077,1.137067605,S771,Apparel
WH466,San Francisco,2791,49896,43,3728,4632,2,6,10,5,2.981565808,7065,53951,557,26,0.885939072,1.618922934,S211,Groceries
WH127,Miami,2334,30756,100,5100,9465,125,6,7,4,4.293963592,13127,77838,1215,44,4.299181282,1.443760989,S347,Electronics
WH156,Los Angeles,2798,22257,81,1481,8115,292,23,6,4,4.894737957,1110,30568,5314,10,6.806793112,2.338046671,S920,Apparel
WH079,Chicago,4813,30328,40,2247,7205,206,14,6,7,4.197616819,11105,58707,3728,48,4.566706751,3.768307775,S491,Apparel
WH022,Houston,2651,26441,83,4180,9713,216,5,6,1,1.743339948,16376,40114,3721,37,2.575204869,2.188437891,S571,Groceries
WH270,Dallas,532,48750,53,4281,6644,279,11,8,4,3.482295939,18999,87888,9465,8,1.514175873,1.503878911,S184,Furniture
WH263,Los Angeles,2607,10928,37,4256,6189,137,13,3,2,4.389174887,15210,94791,10826,1,2.489233291,3.349496436,S892,Apparel
WH466,Los Angeles,3954,10369,86,4082,2398,283,13,7,2,3.431586763,5264,86732,2813,22,5.442030994,2.316201684,S219,Automotive
WH254,Dallas,3708,36428,23,2235,6759,98,17,7,5,4.245877681,7985,36749,9161,35,6.026154882,4.251698802,S521,Furniture
WH141,Denver,980,15824,52,2070,8159,70,18,7,4,4.039975792,10856,96843,12927,41,5.638568989,2.040123106,S119,Automotive
WH295,Denver,1834,12488,6,1077,4210,164,16,7,7,3.14696178,10894,37429,10745,12,1.759674519,3.9023093,S396,Groceries
WH050,Seattle,4324,46359,89,1831,1393,70,17,3,4,1.128081446,14236,43981,13470,5,7.10933958,1.744904539,S921,Groceries
WH228,New York,2548,44370,88,4355,4284,248,18,6,5,4.771542168,8185,95645,5267,18,6.609676066,1.964183629,S558,Groceries
WH125,Denver,3380,23744,85,5055,5544,146,24,6,4,2.231177411,13811,66402,9053,4,8.511802042,1.288326402,S735,Groceries
WH006,Atlanta,1314,15353,31,4858,3448,70,18,5,2,2.172352225,16110,42837,7856,42,5.843548805,2.868405401,S955,Groceries
WH043,Miami,570,16459,62,4885,4262,61,7,4,5,3.219613815,19635,57506,13095,1,4.218476445,2.932320275,S167,Groceries
WH250,San Francisco,528,30525,36,1982,1513,49,9,2,1,3.635329564,18993,80086,7758,34,2.151403779,2.585306772,S230,Groceries
WH306,Houston,4942,46227,20,4080,9609,102,25,5,3,3.925919436,9557,44339,8166,37,0.506755335,1.249607484,S210,Groceries
WH018,Miami,2482,24140,70,516,2238,292,17,2,2,2.303450971,15962,79112,4290,23,1.762951335,4.088770745,S491,Apparel
WH055,Dallas,3790,18187,31,2904,3819,248,13,8,4,0.788354502,16069,80868,12253,49,6.447282385,4.699026273,S929,Groceries
WH454,Los Angeles,2838,41612,22,3097,1932,9,24,4,5,3.239840829,2593,52345,12276,33,3.161294892,1.223373881,S856,Groceries
WH178,Atlanta,1055,13099,99,3915,6077,283,16,9,1,1.378647727,12517,93626,8893,37,3.193341333,2.606415416,S917,Automotive
WH486,Seattle,2163,26467,59,4952,3870,160,10,7,6,0.904423989,18771,63033,5622,49,7.788806685,3.996709577,S768,Automotive
WH107,San Francisco,3237,24438,7,4641,8491,136,18,5,1,2.371239115,17255,89202,12267,8,7.636075282,3.93563281,S218,Automotive
WH242,Miami,1440,40012,67,1135,2917,49,22,2,2,3.746115605,18694,64823,5063,8,9.613737534,3.371661486,S471,Apparel
WH353,San Francisco,3119,46381,8,4223,5461,71,7,2,7,1.948365851,6415,34027,861,38,8.49210983,2.494557725,S763,Electronics
WH477,Miami,938,13574,63,4245,7383,209,23,5,4,4.569937275,11663,52190,7327,14,4.314258634,2.661148868,S601,Automotive
WH189,San Francisco,783,33885,71,1310,2030,257,5,6,3,2.342681367,1985,97457,6261,23,1.014460329,2.151291747,S733,Electronics
WH097,Houston,4588,15219,26,4176,9762,238,15,2,3,2.280259134,5923,73887,7977,26,6.335227604,3.189628988,S744,Electronics
WH174,Los Angeles,2771,45941,91,4542,8717,190,8,10,1,1.277413582,17813,89581,9555,34,6.994702733,4.149458958,S508,Electronics
WH153,Atlanta,3630,16306,25,956,3023,96,7,9,7,2.741681706,10185,45897,14293,41,5.330618321,2.577514248,S517,Apparel
WH334,Los Angeles,4069,37238,14,1971,2308,121,11,5,4,4.038621487,12903,41108,7918,24,2.190833818,1.084597551,S456,Groceries
WH082,San Francisco,4892,15458,6,1083,5580,9,19,7,5,3.672574028,14880,97049,14212,49,0.897535275,1.180772973,S183,Electronics
WH125,Seattle,1085,34914,41,3932,5896,271,10,2,1,4.531215736,15079,31964,12423,13,0.9841135,4.854329605,S539,Electronics
WH347,Seattle,1133,37204,51,3203,2526,129,17,2,1,3.401717619,7396,85331,11618,33,5.039495031,4.472942626,S395,Apparel
WH425,Dallas,1070,29777,70,4667,9375,28,15,5,5,3.496331761,8675,94026,5657,1,9.107077961,4.253821658,S466,Furniture
WH153,Seattle,2783,34966,91,3089,5599,210,20,6,4,3.853219687,9430,31379,7684,32,5.177985873,4.144548806,S147,Automotive
WH458,Dallas,2956,34314,73,591,8829,197,11,7,4,3.308230485,19128,68101,9077,37,5.851436734,3.895181315,S816,Apparel
WH362,San Francisco,1105,44544,22,1494,8357,131,16,4,7,1.32104815,4098,86457,7715,3,1.455177226,1.406863888,S396,Automotive
WH185,Atlanta,4025,22903,46,1348,2457,249,6,3,2,0.71972216,1778,32278,4901,5,6.893959056,1.22625355,S134,Automotive
WH254,Atlanta,4276,25956,54,3468,6997,122,16,10,1,3.560400811,1174,44679,14281,6,1.185299633,1.790688645,S410,Furniture
WH472,New York,4067,40549,46,2378,8284,226,8,5,7,2.694899109,17999,55131,12708,12,7.807269761,1.678518032,S214,Automotive
WH315,Los Angeles,2253,17822,74,2408,9539,61,5,7,4,3.935153367,14959,78804,4780,42,1.609419971,4.145083253,S722,Furniture
WH233,Denver,3633,40696,33,3446,8647,278,5,10,4,4.680226191,5691,80642,2231,3,9.480227209,1.871207719,S398,Furniture
WH039,New York,4625,37574,18,2143,6810,20,19,4,1,3.735176492,5501,77994,11572,2,9.386046474,4.339697397,S711,Groceries
WH378,Denver,3385,14836,28,3251,6447,175,5,5,4,1.378266896,12091,46917,8644,0,9.526772643,2.683638299,S586,Automotive
WH082,Dallas,3756,48455,18,1623,4363,276,25,8,2,4.841622118,5138,83069,12163,43,6.291763381,2.345213526,S801,Apparel
WH010,Atlanta,853,13624,88,4822,7854,241,25,2,6,2.901103809,8451,30777,6198,40,4.608665814,1.245981622,S616,Furniture
WH232,Los Angeles,1999,20435,33,4340,4602,265,25,10,4,4.093949325,6118,59472,12838,36,4.456751694,4.556409374,S365,Furniture
WH205,San Francisco,4855,29113,68,4555,7850,35,13,7,6,3.158681815,5476,44452,3787,10,1.405207471,4.64492975,S450,Apparel
WH236,Atlanta,4793,40975,92,4845,7472,79,6,4,5,2.493734079,8669,76581,5610,35,1.68785605,3.661938244,S511,Apparel
WH331,San Francisco,2710,33721,86,2793,5156,227,22,7,2,4.147032732,5159,40686,9866,30,5.687013356,3.161993502,S857,Electronics
WH221,Dallas,4693,16068,19,2590,2077,106,9,6,2,3.687660635,12663,68367,13144,12,1.122296472,3.202202115,S923,Apparel
WH420,Denver,3177,38501,28,3658,4728,131,11,9,6,2.2288976,15641,51099,12475,4,3.228079421,4.705196817,S334,Automotive
WH178,Atlanta,2897,41563,24,5133,9032,144,12,10,5,2.995728111,15830,55488,13589,49,5.727325543,3.966267629,S840,Automotive
WH009,Atlanta,3113,42738,19,639,5139,29,21,3,5,0.682362961,1938,73388,10983,0,2.348518767,1.211635095,S520,Groceries
WH266,Miami,4262,21690,9,4453,4193,16,20,4,7,2.016806077,16433,47772,1907,15,9.410102652,2.408625701,S644,Automotive
WH054,Denver,562,10919,86,2584,8087,216,22,7,7,0.893441939,17110,70573,3204,2,3.923041346,3.614312955,S342,Groceries
WH297,Chicago,1377,22061,75,3852,4851,275,13,10,2,2.572734844,7161,32573,13990,9,4.984775575,4.027067674,S940,Furniture
WH068,Chicago,3237,22298,44,4628,8869,95,15,2,2,2.303096897,2024,82698,5966,39,3.536446595,2.562071465,S325,Automotive
WH496,Miami,4862,45518,62,4621,2900,264,5,10,6,1.11754098,13888,87939,8672,41,9.409925345,1.857498039,S804,Apparel
WH478,Houston,789,43927,65,1746,3171,254,23,9,6,2.742364808,5602,79365,12965,9,9.315235139,3.781758014,S453,Automotive
WH129,Seattle,3104,25046,58,4771,3050,172,25,2,2,3.303165259,18888,80079,9374,19,9.623081771,4.142530633,S187,Electronics
WH093,Atlanta,1435,16295,13,5167,6151,114,18,10,3,3.495540723,3196,53504,14151,44,1.648887248,2.716451559,S868,Furniture
WH414,Chicago,4473,17183,17,2730,3435,87,21,10,7,4.7072219,2226,32188,9199,14,1.383759693,2.142700106,S557,Groceries
WH100,Los Angeles,1859,29322,59,4489,9634,269,23,5,4,0.505159476,18781,34451,7428,47,3.206536022,1.102064317,S211,Groceries
WH013,Miami,4214,44903,35,2516,2027,26,8,5,7,4.116614316,18844,46897,8447,12,7.62078953,4.688042159,S998,Furniture
WH422,Los Angeles,3561,37169,50,402,2809,125,9,10,3,3.893007702,12529,53249,8799,2,8.874503241,3.219685999,S890,Automotive
WH287,Dallas,3298,10604,19,408,6968,149,9,7,3,2.75537838,5177,32024,10228,30,7.884325486,3.281601558,S971,Groceries
WH054,Atlanta,2677,13407,93,4517,8398,228,15,7,5,2.503452682,19481,88414,4614,3,5.429731239,2.019250524,S924,Electronics
WH258,Houston,1665,30826,74,1457,1525,58,13,2,5,1.183463665,10751,56498,14777,31,4.362674872,3.073135426,S669,Automotive
WH136,New York,4421,27494,86,3181,1038,236,11,10,5,3.848050548,19822,47922,10759,35,7.84950144,4.18218957,S851,Electronics
